# step energy mass x-momentum y-momentum z-momentum 
226 6.2879669e+07 5.6642970e+02 3.1750694e+05 1.8995514e+04 0.0000000e+00
227 6.1737125e+07 5.6156888e+02 3.1305395e+05 1.8788793e+04 0.0000000e+00
228 6.0848644e+07 5.5766114e+02 3.0858457e+05 1.8514359e+04 0.0000000e+00
229 6.0206874e+07 5.5434989e+02 3.0437321e+05 1.8194614e+04 0.0000000e+00
230 5.9361516e+07 5.5044184e+02 2.9995602e+05 1.8020484e+04 0.0000000e+00
231 5.8255388e+07 5.4509077e+02 2.9530794e+05 1.7938570e+04 0.0000000e+00
232 5.7318870e+07 5.4006670e+02 2.9099533e+05 1.7886455e+04 0.0000000e+00
233 5.6541822e+07 5.3545828e+02 2.8685015e+05 1.7646596e+04 0.0000000e+00
234 5.5841941e+07 5.3137875e+02 2.8280623e+05 1.7376503e+04 0.0000000e+00
235 5.5185580e+07 5.2737061e+02 2.7868897e+05 1.7069834e+04 0.0000000e+00
236 5.4385008e+07 5.2236662e+02 2.7432576e+05 1.6784926e+04 0.0000000e+00
237 5.3537246e+07 5.1735432e+02 2.6991598e+05 1.6839064e+04 0.0000000e+00
238 5.3254739e+07 5.1400110e+02 2.6587292e+05 1.6536753e+04 0.0000000e+00
239 5.3331651e+07 5.1208458e+02 2.6231207e+05 1.6229555e+04 0.0000000e+00
240 5.3825345e+07 5.1207564e+02 2.5849208e+05 1.6347910e+04 0.0000000e+00
241 5.6987393e+07 5.2038682e+02 2.5374832e+05 2.0738222e+04 0.0000000e+00
242 5.8116232e+07 5.2289656e+02 2.4938693e+05 2.0965205e+04 0.0000000e+00
243 5.8785307e+07 5.2360850e+02 2.4513169e+05 1.9896731e+04 0.0000000e+00
244 5.9348201e+07 5.2392729e+02 2.4102722e+05 1.9405089e+04 0.0000000e+00
245 5.7434114e+07 5.1655081e+02 2.3822988e+05 1.7941137e+04 0.0000000e+00
246 5.6711446e+07 5.1212489e+02 2.3486823e+05 1.6908414e+04 0.0000000e+00
247 5.5787334e+07 5.0702753e+02 2.3129148e+05 1.5507210e+04 0.0000000e+00
248 5.4865482e+07 5.0250210e+02 2.2778575e+05 1.4925685e+04 0.0000000e+00
249 5.4129462e+07 4.9894377e+02 2.2432298e+05 1.4661600e+04 0.0000000e+00
250 5.3921981e+07 4.9701193e+02 2.2103548e+05 1.4444496e+04 0.0000000e+00
251 5.4036426e+07 4.9650443e+02 2.1789876e+05 1.4321529e+04 0.0000000e+00
252 5.4283812e+07 4.9652717e+02 2.1467951e+05 1.4153444e+04 0.0000000e+00
253 5.4600629e+07 4.9671602e+02 2.1151530e+05 1.3967118e+04 0.0000000e+00
254 5.4896379e+07 4.9682481e+02 2.0829162e+05 1.3854301e+04 0.0000000e+00
255 5.5410624e+07 4.9756572e+02 2.0518821e+05 1.3801995e+04 0.0000000e+00
256 5.6020168e+07 4.9876641e+02 2.0212651e+05 1.3732269e+04 0.0000000e+00
257 5.6589869e+07 4.9981326e+02 1.9911399e+05 1.3706633e+04 0.0000000e+00
258 5.7062195e+07 5.0043638e+02 1.9607804e+05 1.3635197e+04 0.0000000e+00
259 5.7011128e+07 4.9889826e+02 1.9322656e+05 1.3832672e+04 0.0000000e+00
260 5.7370224e+07 4.9897250e+02 1.9046089e+05 1.3889733e+04 0.0000000e+00
261 5.7745369e+07 4.9927400e+02 1.8775373e+05 1.4132441e+04 0.0000000e+00
262 5.7997561e+07 4.9917115e+02 1.8503467e+05 1.3994991e+04 0.0000000e+00
263 5.8004918e+07 4.9795735e+02 1.8235552e+05 1.3735825e+04 0.0000000e+00
264 5.7645320e+07 4.9526379e+02 1.7961257e+05 1.3476126e+04 0.0000000e+00
265 5.6782661e+07 4.9053341e+02 1.7680394e+05 1.3423988e+04 0.0000000e+00
266 5.5711574e+07 4.8513021e+02 1.7423482e+05 1.3355783e+04 0.0000000e+00
267 5.4686855e+07 4.8027758e+02 1.7166184e+05 1.3269033e+04 0.0000000e+00
268 5.3838543e+07 4.7630555e+02 1.6904798e+05 1.3172594e+04 0.0000000e+00
269 5.3073071e+07 4.7267888e+02 1.6642167e+05 1.3026281e+04 0.0000000e+00
270 5.2462252e+07 4.6929540e+02 1.6398687e+05 1.2581514e+04 0.0000000e+00
271 5.2584494e+07 4.6830046e+02 1.6166478e+05 1.2539771e+04 0.0000000e+00
272 5.2374495e+07 4.6648371e+02 1.5948314e+05 1.2467967e+04 0.0000000e+00
273 5.2059065e+07 4.6439618e+02 1.5721695e+05 1.2399559e+04 0.0000000e+00
274 5.2743748e+07 4.6398545e+02 1.5439284e+05 1.5212659e+04 0.0000000e+00
275 5.2476500e+07 4.6145899e+02 1.5191023e+05 1.5350440e+04 0.0000000e+00
276 5.2080182e+07 4.5864409e+02 1.4991778e+05 1.4558442e+04 0.0000000e+00
277 5.1680182e+07 4.5624280e+02 1.4779617e+05 1.4156031e+04 0.0000000e+00
278 5.1310162e+07 4.5399975e+02 1.4574826e+05 1.3981374e+04 0.0000000e+00
279 5.0836110e+07 4.5128828e+02 1.4360755e+05 1.3849821e+04 0.0000000e+00
280 5.0942345e+07 4.4970296e+02 1.4154719e+05 1.3746945e+04 0.0000000e+00
281 5.1018721e+07 4.4813557e+02 1.3973578e+05 1.3608226e+04 0.0000000e+00
282 5.0914887e+07 4.4554518e+02 1.3798464e+05 1.3464770e+04 0.0000000e+00
283 5.0506626e+07 4.4146758e+02 1.3624309e+05 1.3305017e+04 0.0000000e+00
284 4.9935073e+07 4.3697192e+02 1.3461332e+05 1.3206306e+04 0.0000000e+00
285 4.9241515e+07 4.3207542e+02 1.3310815e+05 1.3135727e+04 0.0000000e+00
286 4.8527510e+07 4.2736397e+02 1.3165557e+05 1.3019979e+04 0.0000000e+00
287 4.7564423e+07 4.2232897e+02 1.2999378e+05 1.2747363e+04 0.0000000e+00
288 4.5880331e+07 4.1607794e+02 1.2904343e+05 1.1501206e+04 0.0000000e+00
289 4.4894498e+07 4.1110125e+02 1.2772200e+05 1.0958830e+04 0.0000000e+00
290 4.4751427e+07 4.0780111e+02 1.2629432e+05 1.2238516e+04 0.0000000e+00
291 4.4159985e+07 4.0460809e+02 1.2492105e+05 1.2565914e+04 0.0000000e+00
292 4.3577246e+07 4.0255057e+02 1.2341847e+05 1.2125217e+04 0.0000000e+00
293 4.2913833e+07 4.0090063e+02 1.2169975e+05 1.1837082e+04 0.0000000e+00
294 4.2364324e+07 3.9957749e+02 1.1994916e+05 1.1637664e+04 0.0000000e+00
295 4.1272296e+07 3.9657881e+02 1.1862622e+05 1.0736643e+04 0.0000000e+00
